ID da fila;ID do pedido;Data do pedido;Data de envio;Modo de envio;ID do cliente;Nome do cliente;Segmento;Cidade;Estado;País/Região;Região;Iddoproduto;Categoria;Sub-categoria;Nomedoproduto;Custo;Vendas;Quantidade;Desconto;Lucro;Meta
4669;MX-2021-123575;24/10/2021;26/10/2021;Segunda classe;KB-16465;Kauê Barbosa;Varejo;Montevidéu;Montevidéu;Uruguai;Sul;MAT-AC-10000427;Material de escritório;Eletrônicos;Breville Forno, Preto;2002,63;14959,2;4;0;12942;25903,98
7272;MX-2019-106047;10/10/2019;12/10/2019;Segunda classe;BC-11665;Bruna Cunha;Varejo;Ensenada;Baixa Califórnia;México;Norte;TEC-AC-10004216;Tecnologia;Acessórios;SanDisk Roteador, Econômico;871,83;11963;7;0;11076,6;22173,18
977;MX-2020-101126;19/12/2020;24/12/2020;Classe padrão;LR-17005;Leonardo Rodrigues;Varejo;Cienfuegos;Cienfuegos;Cuba;Caribe;MAT-AR-10001101;Material de escritório;Armazenamento;Fellowes Armários, Azul;701,83;11057,6;8;0;10341,2;20702,38
7770;MX-2021-152114;16/06/2021;21/06/2021;Classe padrão;BC-11620;Bruna Cavalcanti;Grande Empresa;Milpa Alta;Distrito Federal;México;Norte;TEC-CO-10001948;Tecnologia;Copiadoras;HP Fax sem fio, Digital;1398,63;11558,792;6;0,002;12952,012;25924,004
7806;MX-2019-135174;23/10/2019;27/10/2019;Classe padrão;SC-20485;Sofia Carvalho;Pequenas e Medias Empresas;Ciego de Ávila;Ciego de Ávila;Cuba;Caribe;MÓV-ME-10003357;Móveis;Mesas;Bevis Mesa de madeira, Branco;1983,43;10311,98;4;0;12290;24599,98
2962;MX-2021-152688;07/12/2021;11/12/2021;Segunda classe;FC-14140;Fábio Cavalcanti;Pequenas e Medias Empresas;San Salvador;San Salvador;El Salvador;Central;TEC-CO-10002822;Tecnologia;Copiadoras;Canon Copiadora, Colorida;984,83;10296,9792;7;0,002;11276,3992;22572,7784
1947;MX-2021-147480;02/10/2021;02/10/2021;No mesmo dia;EM-13750;Erick Martins;Grande Empresa;Santo André;São Paulo;Brasil;Sul;TEC-TE-10000636;Tecnologia;Telefones;Nokia Carregador, Tamanhos variados;2538,83;17037,6;4;0;14484,2;28988,38
2437;MX-2021-152793;20/11/2021;25/11/2021;Classe padrão;IL-15160;Igor Lima;Pequenas e Medias Empresas;Managua;Managua;Nicarágua;Central;TEC-CO-10003192;Tecnologia;Copiadoras;Hewlett Fax, Par;1049,43;8534,652;5;0,002;9578,672;19177,324
727;MX-2019-131121;10/07/2019;15/07/2019;Classe padrão;LS-17275;Letícia Sousa;Varejo;Ciudad Juárez;Chihuahua;México;Norte;TEC-CO-10000694;Tecnologia;Copiadoras;Sharp Fax sem fio, Par;1406,83;11385,5064;6;0,002;12786,9264;25593,8328
1779;MX-2021-158386;18/09/2021;18/09/2021;No mesmo dia;GA-14440;Gabriela Almeida;Varejo;Quito;Pichincha;Equador;Sul;TEC-CO-10001678;Tecnologia;Copiadoras;Brother Copiadora, Vermelho;990,43;10141,8676;7;0,002;11126,8876;22273,7552
2620;MX-2019-112935;14/04/2019;19/04/2019;Segunda classe;JP-15745;Júlia Pinto;Varejo;Escuintla;Escuintla;Guatemala;Central;MAT-AC-10004176;Material de escritório;Eletrônicos;Breville Geladeira, Prata;1994,03;13868,8;4;0;11860,2;23740,38
8633;MX-2021-122483;20/10/2021;24/10/2021;Classe padrão;VM-21730;Vitoria Melo;Pequenas e Medias Empresas;Tepic;Nayarit;México;Norte;TEC-MÁ-10000777;Tecnologia;Máquinas;StarTech Impressora, Durável;1008,23;11960,2;7;0;10937,4;21894,78
2534;MX-2018-150112;21/07/2018;21/07/2018;No mesmo dia;BM-11725;Bruna Martins;Varejo;Mixco;Guatemala;Guatemala;Central;TEC-AC-10000310;Tecnologia;Acessórios;Memorex Roteador, Reciclado;861,63;9760,8;6;0;8884,6;17789,18
9376;MX-2019-101231;05/06/2019;12/06/2019;Classe padrão;CM-12475;Cauã Melo;Varejo;Culiacán;Sinaloa;México;Norte;TEC-CO-10003959;Tecnologia;Copiadoras;Canon Copiadora, Par;1066,63;10066,3136;7;0,002;11127,5336;22275,0472
5495;MX-2021-131765;15/08/2021;18/08/2021;Segunda classe;MC-19105;Murilo Correia;Varejo;Medellín;Antioquia;Colômbia;Sul;TEC-AC-10000201;Tecnologia;Acessórios;Logitech Roteador, Programável;995,03;11611,6;7;0;10602;21223,98
552;MX-2019-139514;21/08/2019;28/08/2019;Classe padrão;GG-14590;Gabrielly Gomes;Grande Empresa;Cidade do México;Distrito Federal;México;Norte;TEC-CO-10003448;Tecnologia;Copiadoras;Canon Fax sem fio, Colorida;1909,03;18933,168;9;0,002;20836,788;41693,556
541;MX-2019-154179;12/12/2019;17/12/2019;Classe padrão;ES-14080;Evelyn Sousa;Grande Empresa;São Paulo;São Paulo;Brasil;Sul;TEC-CO-10004032;Tecnologia;Copiadoras;Canon Fax sem fio, Digital;1748,43;14112,672;7;0,002;15855,692;31731,364
684;MX-2020-161067;17/12/2020;21/12/2020;Classe padrão;MC-18910;Melissa Cunha;Pequenas e Medias Empresas;Soyapango;San Salvador;El Salvador;Central;MAT-AR-10000936;Material de escritório;Armazenamento;Fellowes Armários, Metal;753,63;9632;7;0;8863,8;17747,58
2034;MX-2018-137316;01/07/2018;06/07/2018;Classe padrão;DF-12820;Davi Ferreira;Grande Empresa;Santo Domingo;Distrito Nacional;República Dominicana;Caribe;MAT-AC-10004265;Material de escritório;Eletrônicos;Cuisinart Geladeira, Vermelho;1868,23;18520,32;7;0,2;16637,52;33295,02
6831;MX-2018-102421;27/11/2018;02/12/2018;Classe padrão;DA-12610;Daniel Azevedo;Grande Empresa;Chapecó;Santa Catarina;Brasil;Sul;MAT-AC-10003948;Material de escritório;Eletrônicos;Hoover Forno, Branco;1985,23;11332,2;3;0;9332,4;18684,78
1142;MX-2020-103520;17/08/2020;22/08/2020;Classe padrão;AA-10120;Alex Alves;Pequenas e Medias Empresas;Culiacán;Sinaloa;México;Norte;TEC-CO-10000694;Tecnologia;Copiadoras;Sharp Fax sem fio, Par;1406,83;9017,452;5;0,002;10418,872;20857,724
3483;MX-2021-165309;05/09/2021;08/09/2021;Primeira classe;VC-21670;Vitoria Cunha;Varejo;Soyapango;San Salvador;El Salvador;Central;MÓV-ME-10000784;Móveis;Mesas;HON Mesa para computador, Montado;1958,03;17139,74;8;0,2;19092,36;38204,7
6751;MX-2018-109869;26/03/2018;01/04/2018;Classe padrão;LB-16915;Leonardo Barbosa;Varejo;San Salvador;San Salvador;El Salvador;Central;TEC-CO-10001763;Tecnologia;Copiadoras;HP Fax, Par;1322,83;11314,3856;7;0,002;12631,8056;25283,5912
688;MX-2021-108042;05/11/2021;10/11/2021;Classe padrão;VA-21145;Vinicius Araujo;Grande Empresa;Managua;Managua;Nicarágua;Central;TEC-CO-10001549;Tecnologia;Copiadoras;Brother Fax, Vermelho;1207,83;8112,064;5;0,002;9314,484;18648,948
879;MX-2021-151554;21/11/2021;21/11/2021;No mesmo dia;VF-21490;Vitor Ferreira;Varejo;Camagüey;Camagüey;Cuba;Caribe;TEC-CO-10001549;Tecnologia;Copiadoras;Brother Fax, Vermelho;1207,83;8112,064;5;0,002;9314,484;18648,948
4443;MX-2020-159583;03/01/2020;07/01/2020;Classe padrão;VC-21040;Victor Cunha;Pequenas e Medias Empresas;Mérida;Yucatán;México;Norte;TEC-CO-10001549;Tecnologia;Copiadoras;Brother Fax, Vermelho;1207,83;8112,064;5;0,002;9314,484;18648,948
2024;MX-2019-133032;07/07/2019;09/07/2019;Segunda classe;EG-13645;Enzo Goncalves;Varejo;Bridgetown;Saint Michael;Barbados;Caribe;TEC-CO-10001917;Tecnologia;Copiadoras;Canon Fax e copiadora, Vermelho;690,83;7436,6896;7;0,002;8122,1096;16264,1992
9953;MX-2021-166541;02/10/2021;07/10/2021;Classe padrão;MC-18850;Matilde Costa;Varejo;Ciudad Juárez;Chihuahua;México;Norte;TEC-TE-10003661;Tecnologia;Telefones;Samsung Smart Phone, Tamanho real;414,83;7471,8;9;0;7042,4;14104,78
3259;MX-2019-159646;04/12/2019;06/12/2019;Primeira classe;AC-10375;Aline Cavalcanti;Varejo;Santa Catarina;Novo Leão;México;Norte;MAT-AC-10000427;Material de escritório;Eletrônicos;Breville Forno, Preto;2002,63;11219,4;3;0;9202,2;18424,38
3747;MX-2019-134355;29/11/2019;04/12/2019;Classe padrão;IR-15235;Isabela Ribeiro;Varejo;Santo Domingo;Distrito Nacional;República Dominicana;Caribe;MAT-AC-10003948;Material de escritório;Eletrônicos;Hoover Forno, Branco;1985,23;15109,6;5;0,2;13109,8;26239,58
6439;MX-2018-121671;04/10/2018;09/10/2018;Classe padrão;EP-13885;Estevan Pereira;Pequenas e Medias Empresas;Los Mochis;Sinaloa;México;Norte;TEC-MÁ-10000379;Tecnologia;Máquinas;Panasonic Impressora, Branco;1148,63;12362;7;0;11198,8;22417,58
9756;MX-2021-162824;20/08/2021;24/08/2021;Classe padrão;SM-20530;Sofia Melo;Varejo;São Gonçalo;Rio de Janeiro;Brasil;Sul;TEC-CO-10004658;Tecnologia;Copiadoras;Sharp Copiadora, Vermelho;806,83;6281,34;5;0,002;7082,76;14185,5
9701;MX-2019-157987;08/08/2019;09/08/2019;Primeira classe;BS-11740;Bruna Silva;Varejo;Bayeux;Paraíba;Brasil;Sul;MAT-AC-10001960;Material de escritório;Eletrônicos;KitchenAid Geladeira, Preto;2690,23;24610,6;7;0;21905,8;43831,58
9694;US-2019-117982;11/11/2019;14/11/2019;Primeira classe;LA-16630;Laura Alves;Grande Empresa;Tepic;Nayarit;México;Norte;TEC-CO-10003215;Tecnologia;Copiadoras;Canon Tinta, Digital;658,43;10393,6936;12;0,002;11046,7136;22113,4072
2302;MX-2020-143686;26/06/2020;30/06/2020;Classe padrão;IR-15235;Isabela Ribeiro;Varejo;Chillán;Bío-Bío;Chile;Sul;MAT-AC-10001496;Material de escritório;Eletrônicos;KitchenAid Micro-ondas, Prata;1061,43;8295,2;4;0;7219,2;14458,38
2641;US-2018-158554;10/08/2018;10/08/2018;No mesmo dia;LB-16750;Lavinia Barros;Varejo;Santo Domingo;Distrito Nacional;República Dominicana;Caribe;MAT-AC-10001114;Material de escritório;Eletrônicos;Hoover Forno, Vermelho;2181,23;18191,04;6;0,2;15995,24;32010,46
9766;MX-2020-108959;29/11/2020;03/12/2020;Classe padrão;NS-19330;Nicole Sousa;Varejo;Ciudad Valles;San Luis Potosí;México;Norte;TEC-CO-10002822;Tecnologia;Copiadoras;Canon Copiadora, Colorida;984,83;6789,608;5;0,002;7769,028;15558,036
997;MX-2020-148012;23/07/2020;30/07/2020;Classe padrão;MA-18790;Matilde Alves;Pequenas e Medias Empresas;Villa Canales;Guatemala;Guatemala;Central;TEC-TE-10000628;Tecnologia;Telefones;Motorola Carregador, Embalagem tipo bulk;2511,43;12855,6;3;0;10329,6;20679,18
8817;MX-2019-142174;27/12/2019;29/12/2019;Primeira classe;CS-12430;Carolina Souza;Pequenas e Medias Empresas;Morelia;Michoacán;México;Norte;MÓV-ME-10002374;Móveis;Mesas;Barricks Mesa de centro, Preto;1048,43;9149,98;7;0,2;10193;20405,98
2495;MX-2019-130351;21/12/2019;25/12/2019;Classe padrão;FR-14365;Fernanda Rocha;Grande Empresa;Cidade do México;Distrito Federal;México;Norte;TEC-TE-10000934;Tecnologia;Telefones;Cisco Carregador, Azul;3544,03;34740,8;8;0;31182,2;62384,38
7214;MX-2018-169397;06/12/2018;10/12/2018;Segunda classe;JL-15685;Julia Lima;Grande Empresa;Managua;Managua;Nicarágua;Central;TEC-TE-10004559;Tecnologia;Telefones;Cisco Smart Phone, Azul;546,23;8308,8;9;0;7748;15515,98
3120;MX-2019-105900;20/12/2019;22/12/2019;Primeira classe;MG-18715;Matheus Gomes;Grande Empresa;Milpa Alta;Distrito Federal;México;Norte;TEC-TE-10000976;Tecnologia;Telefones;Samsung Repetidor de sinal, Tamanhos variados;615,23;10225,6;11;0;9595,8;19211,58
3499;MX-2020-166443;21/08/2020;25/08/2020;Classe padrão;VS-21820;Vitória Sousa;Varejo;Maceió;Alagoas;Brasil;Sul;TEC-MÁ-10000304;Tecnologia;Máquinas;Panasonic Impressora, Vermelho;861,83;7030,4;4;0;6154;12327,98
9714;MX-2020-129847;02/03/2020;06/03/2020;Classe padrão;BG-11155;Beatriz Goncalves;Varejo;Cancún;Quintana Roo;México;Norte;TEC-CO-10004698;Tecnologia;Copiadoras;Brother Fax, Digital;1425,63;9841,3256;6;0,002;11261,5456;22543,0712
363;MX-2019-131870;25/10/2019;29/10/2019;Classe padrão;SL-20305;Samuel Lima;Varejo;Managua;Managua;Nicarágua;Central;TEC-AC-10001054;Tecnologia;Acessórios;Memorex Roteador, Econômico;918,63;8207;5;0;7273,8;14567,58
9592;MX-2019-140767;19/02/2019;23/02/2019;Classe padrão;RA-19795;Raissa Azevedo;Pequenas e Medias Empresas;Valinhos;São Paulo;Brasil;Sul;TEC-AC-10001054;Tecnologia;Acessórios;Memorex Roteador, Econômico;918,63;8207;5;0;7273,8;14567,58
1243;MX-2020-142678;06/06/2020;13/06/2020;Classe padrão;RC-19885;Rebeca Correia;Grande Empresa;Villa Canales;Guatemala;Guatemala;Central;TEC-CO-10000779;Tecnologia;Copiadoras;Sharp Fax e copiadora, Vermelho;683,63;7501,788;8;0,002;8180,008;16379,996
6516;MX-2018-130400;29/12/2018;01/01/2019;Primeira classe;CC-12445;Cauã Correia;Varejo;Macapá;Amapá;Brasil;Sul;TEC-CO-10003089;Tecnologia;Copiadoras;Canon Tinta, Colorida;528,03;5855,1116;7;0,002;6377,7316;12775,4432
6887;MX-2020-162390;16/03/2020;18/03/2020;Segunda classe;RG-19750;Rafaela Gomes;Varejo;Novo Gama;Goiás;Brasil;Sul;TEC-CO-10003089;Tecnologia;Copiadoras;Canon Tinta, Colorida;528,03;5855,1116;7;0,002;6377,7316;12775,4432
1961;MX-2020-153479;21/03/2020;25/03/2020;Classe padrão;SB-20230;Samuel Barbosa;Grande Empresa;Querétaro;Querétaro;México;Norte;TEC-TE-10000636;Tecnologia;Telefones;Nokia Carregador, Tamanhos variados;2538,83;12778,2;3;0;10224,8;20469,58
6712;MX-2018-152681;09/03/2018;14/03/2018;Classe padrão;GR-14710;Giovana Rodrigues;Varejo;San Salvador;San Salvador;El Salvador;Central;MAT-AC-10002035;Material de escritório;Eletrônicos;Hoover Torradeira, Prata;287,03;6188,6;11;0;5887;11793,98
3050;MX-2020-100678;07/12/2020;12/12/2020;Classe padrão;RA-20125;Ryan Azevedo;Pequenas e Medias Empresas;Tepic;Nayarit;México;Norte;TEC-AC-10004859;Tecnologia;Acessórios;Enermax Roteador, Durável;1103,43;10341,6;6;0;9223,6;18467,18
4231;MX-2020-138359;12/05/2020;17/05/2020;Classe padrão;FG-14155;Fábio Gomes;Varejo;Bayamo;Granma;Cuba;Caribe;MAT-AC-10000178;Material de escritório;Eletrônicos;Hamilton Beach Geladeira, Branco;2474,43;19930,8;6;0;17441,8;34903,58
7885;MX-2021-143161;18/11/2021;22/11/2021;Classe padrão;LB-16720;Lavinia Barbosa;Varejo;Ilopango;San Salvador;El Salvador;Central;MAT-AC-10001894;Material de escritório;Eletrônicos;Hamilton Beach Micro-ondas, Vermelho;1320,43;13183,8;7;0;11848,8;23717,58
644;MX-2021-120579;29/08/2021;03/09/2021;Segunda classe;RL-20170;Ryan Lima;Varejo;Uberaba;Minas Gerais;Brasil;Sul;TEC-CO-10004780;Tecnologia;Copiadoras;Sharp Fax e copiadora, Digital;656,03;6514,2776;7;0,002;7164,8976;14349,7752
876;MX-2021-151554;21/11/2021;21/11/2021;No mesmo dia;VF-21490;Vitor Ferreira;Varejo;Camagüey;Camagüey;Cuba;Caribe;MAT-AC-10002057;Material de escritório;Eletrônicos;Cuisinart Forno, Prata;2067,43;10780,8;3;0;8698,8;17417,58
6773;MX-2019-151015;17/08/2019;22/08/2019;Classe padrão;VS-21790;Vitoria Santos;Varejo;Cidade do México;Distrito Federal;México;Norte;TEC-AC-10002042;Tecnologia;Acessórios;Belkin Cartão de memória, Programável;401,83;6203,2;8;0;5786,8;11593,58
5834;MX-2021-113985;19/09/2021;26/09/2021;Classe padrão;ER-13810;Erick Ribeiro;Grande Empresa;San José de las Lajas;Mayabeque;Cuba;Caribe;TEC-CO-10001829;Tecnologia;Copiadoras;Brother Copiadora, Digital;891,23;5179,2104;4;0,002;6065,0304;12150,0408
8726;MX-2021-128097;08/11/2021;13/11/2021;Classe padrão;LS-16540;Lara Souza;Varejo;Santo Domingo;Distrito Nacional;República Dominicana;Caribe;MAT-AR-10003992;Material de escritório;Armazenamento;Smead Carrinho bandeja, Metal;442,03;8837,92;13;0,2;8381,32;16782,62
9710;MX-2021-164217;29/08/2021;02/09/2021;Classe padrão;CG-12100;Camila Goncalves;Pequenas e Medias Empresas;Milpa Alta;Distrito Federal;México;Norte;TEC-TE-10004351;Tecnologia;Telefones;Motorola Carregador, Azul;3153,83;21423;5;0;18254,6;36529,18
2905;MX-2019-128755;27/12/2019;31/12/2019;Classe padrão;KO-16285;Kauã Oliveira;Pequenas e Medias Empresas;Camagüey;Camagüey;Cuba;Caribe;TEC-AC-10004216;Tecnologia;Acessórios;SanDisk Roteador, Econômico;871,83;6836;4;0;5949,6;11919,18
7856;MX-2020-137799;20/06/2020;26/06/2020;Classe padrão;IM-15355;Isabella Martins;Varejo;Ciudad Madero;Tamaulipas;México;Norte;TEC-AC-10004216;Tecnologia;Acessórios;SanDisk Roteador, Econômico;871,83;6836;4;0;5949,6;11919,18
8007;MX-2019-137561;04/12/2019;08/12/2019;Classe padrão;LF-17200;Letícia Fernandes;Grande Empresa;Rancagua;Libertador General Bernardo O'Higgins;Chile;Sul;TEC-AC-10004216;Tecnologia;Acessórios;SanDisk Roteador, Econômico;871,83;6836;4;0;5949,6;11919,18
6478;MX-2020-140382;27/02/2020;02/03/2020;Primeira classe;RL-20005;Renan Lima;Varejo;Santo André;São Paulo;Brasil;Sul;MÓV-ME-10001803;Móveis;Mesas;Chromcraft Mesa para computador, Retangular;1658,83;10785,18;6;0,2;12438,6;24897,18
3171;MX-2020-120740;12/02/2020;18/02/2020;Classe padrão;JR-16000;Julieta Ribeiro;Varejo;Bogotá;Bogotá;Colômbia;Sul;TEC-AC-10000251;Tecnologia;Acessórios;Belkin Roteador, Durável;1122,63;10358,4;6;0;9221,2;18462,38
4532;MX-2021-131968;06/11/2021;06/11/2021;No mesmo dia;BA-10930;Beatrice Azevedo;Pequenas e Medias Empresas;Mixco;Guatemala;Guatemala;Central;TEC-TE-10003112;Tecnologia;Telefones;Apple Carregador, Embalagem tipo bulk;2570,83;12726;3;0;10140,6;20301,18
6484;MX-2021-106320;23/12/2021;27/12/2021;Classe padrão;MF-18145;Maria Fernandes;Varejo;Ilopango;San Salvador;El Salvador;Central;TEC-TE-10003112;Tecnologia;Telefones;Apple Carregador, Embalagem tipo bulk;2570,83;12726;3;0;10140,6;20301,18
6273;MX-2020-113460;03/10/2020;06/10/2020;Primeira classe;LA-17470;Luana Azevedo;Pequenas e Medias Empresas;Managua;Managua;Nicarágua;Central;TEC-CO-10000694;Tecnologia;Copiadoras;Sharp Fax sem fio, Par;1406,83;6649,3976;4;0,002;8050,8176;16121,6152
2342;MX-2021-157602;08/10/2021;12/10/2021;Classe padrão;EA-13585;Enzo Azevedo;Grande Empresa;San Fernando;San Fernando;Trinidad e Tobago;Caribe;TEC-CO-10004061;Tecnologia;Copiadoras;Brother Fax, Colorida;1220,43;6065,7144;4;0,002;7280,7344;14581,4488
